uid,role,gender,pay_annual_USD
620,Leadership,Self-described,"$60,000 - $79,999"
621,,Male,"$120,000 - $139,999"
622,Leadership,Male,"$180,000 - $199,999"
623,Analyst,Male,"$60,000 - $79,999"
624,Leadership,Prefer not to say,"$240,000 or more"
625,,Female,"$10,000 - $19,999"
626,Designer,Female,"$120,000 - $139,999"
627,,Male,"$60,000 - $79,999"
628,,Male,"$180,000 - $199,999"
629,,Male,"$20,000 - $39,999"
630,,Female,"$180,000 - $199,999"
631,Scientist,Male,"$160,000 - $179,999"
632,,Male,"$100,000 - $119,999"
633,,Male,"$200,000 - $219,999"
634,,Male,"$20,000 - $39,999"
635,,Female,"$80,000 - $99,999"
636,Leadership,Male,"$160,000 - $179,999"
637,Analyst,Male,"$40,000 - $59,999"
638,Analyst,Male,"$80,000 - $99,999"
639,Analyst,Female,"$200,000 - $219,999"
640,Analyst,Male,"$120,000 - $139,999"
641,Developer,Male,"$80,000 - $99,999"
642,Analyst,Male,"$60,000 - $79,999"
643,Analyst,Female,"$60,000 - $79,999"
644,Analyst,Male,"$40,000 - $59,999"
645,Analyst,Female,"$100,000 - $119,999"
646,Analyst,Female,"$80,000 - $99,999"
647,Leadership,Female,"$180,000 - $199,999"
648,Developer,Female,"$80,000 - $99,999"
649,Analyst,Female,"$120,000 - $139,999"
650,Other,Female,"$60,000 - $79,999"
651,Designer,Female,"$160,000 - $179,999"
652,Analyst,Female,"$100,000 - $119,999"
653,Engineer,Female,"$60,000 - $79,999"
654,Leadership,Female,"$140,000 - $159,999"
655,Journalist,Female,"$80,000 - $99,999"
656,Analyst,Female,"$180,000 - $199,999"
657,Designer,Male,"$80,000 - $99,999"
658,Developer,Male,"$20,000 - $39,999"
659,Engineer,Male,"$60,000 - $79,999"
660,Developer,Male,"$80,000 - $99,999"
661,Analyst,Female,"$60,000 - $79,999"
662,Engineer,Male,"$140,000 - $159,999"
663,Developer,,"$60,000 - $79,999"
664,Analyst,Female,"$100,000 - $119,999"
665,Scientist,Prefer not to say,"$200,000 - $219,999"
666,Analyst,Male,"$100,000 - $119,999"
667,Analyst,Female,"$80,000 - $99,999"
668,Analyst,Male,"$100,000 - $119,999"
669,Leadership,Male,"$240,000 or more"
670,Analyst,Male,"$60,000 - $79,999"
671,,Female,"$60,000 - $79,999"
672,Engineer,Male,"$80,000 - $99,999"
673,Engineer,Male,"$200,000 - $219,999"
674,Developer,Male,"$120,000 - $139,999"
675,Leadership,Female,"$120,000 - $139,999"
676,Leadership,Male,"$140,000 - $159,999"
677,Leadership,Male,"$220,000 - $239,999"
678,Developer,Female,"$80,000 - $99,999"
679,Engineer,Female,"$120,000 - $139,999"
680,Analyst,Female,"$100,000 - $119,999"
681,,Female,"$60,000 - $79,999"
682,,Self-described,"$120,000 - $139,999"
683,,Female,"$240,000 or more"
684,,Male,"$100,000 - $119,999"
685,,Female,"$80,000 - $99,999"
686,,Female,"$100,000 - $119,999"
687,,Female,"$60,000 - $79,999"
688,,Female,"$120,000 - $139,999"
689,,Male,"$100,000 - $119,999"
690,Analyst,Male,"$80,000 - $99,999"
691,Analyst,Male,"$100,000 - $119,999"
692,Analyst,Male,"$80,000 - $99,999"
693,Analyst,Female,"$60,000 - $79,999"
694,Leadership,Female,"$200,000 - $219,999"
695,Journalist,Male,"$60,000 - $79,999"
696,Designer,Male,"$100,000 - $119,999"
697,Designer,Male,"$160,000 - $179,999"
698,Analyst,Female,"$60,000 - $79,999"
699,Analyst,Male,"$100,000 - $119,999"
700,Scientist,Male,"$80,000 - $99,999"
701,Leadership,Male,"$200,000 - $219,999"
702,Leadership,Male,"$140,000 - $159,999"
703,Scientist,Female,"$40,000 - $59,999"
704,Analyst,Female,"$120,000 - $139,999"
705,Developer,Male,"$80,000 - $99,999"
706,Developer,Male,"$120,000 - $139,999"
707,Analyst,Male,"$140,000 - $159,999"
708,Designer,Female,"$80,000 - $99,999"
709,,Male,"$140,000 - $159,999"
710,Engineer,Male,"$240,000 or more"
711,,Male,"$20,000 - $39,999"
712,,Female,"$60,000 - $79,999"
713,,Female,"$20,000 - $39,999"
714,Leadership,Female,"$160,000 - $179,999"
715,,Male,"$160,000 - $179,999"
716,,Male,"$120,000 - $139,999"
717,,Male,"$60,000 - $79,999"
718,,Male,"$120,000 - $139,999"
719,,Male,"$20,000 - $39,999"
720,,Female,"$40,000 - $59,999"
721,,Female,"$120,000 - $139,999"
722,,Female,"$160,000 - $179,999"
723,,Female,"$240,000 or more"
724,,Female,"$60,000 - $79,999"
725,,Male,"$200,000 - $219,999"
726,Engineer,Female,"$120,000 - $139,999"
727,Developer,Male,"$60,000 - $79,999"
728,Journalist,Female,"$80,000 - $99,999"
729,Leadership,Male,"$200,000 - $219,999"
730,Leadership,Male,"$120,000 - $139,999"
731,Engineer,Male,"$140,000 - $159,999"
732,Other,Female,"$100,000 - $119,999"
733,Leadership,Male,"$240,000 or more"
734,Journalist,Male,"$60,000 - $79,999"
735,Designer,Male,"$100,000 - $119,999"
736,Leadership,Female,"$140,000 - $159,999"
737,Leadership,Male,"$160,000 - $179,999"
738,Developer,Male,"$120,000 - $139,999"
739,,Female,"$40,000 - $59,999"
740,,Male,"$140,000 - $159,999"
741,Designer,Female,"$60,000 - $79,999"
742,,Male,"$10,000 - $19,999"
743,,Male,"$20,000 - $39,999"
744,,Female,"$40,000 - $59,999"
745,,Male,"$80,000 - $99,999"
746,,Female,"$160,000 - $179,999"
747,,Male,"$120,000 - $139,999"
748,,Male,"$120,000 - $139,999"
749,,Female,"$100,000 - $119,999"
750,,Male,"$160,000 - $179,999"
751,Analyst,Male,"$100,000 - $119,999"
752,Developer,Female,"$80,000 - $99,999"
753,Journalist,Male,"$120,000 - $139,999"
754,Analyst,Male,"$140,000 - $159,999"
755,Analyst,Male,"$120,000 - $139,999"
756,,Male,"$220,000 - $239,999"
757,,Female,"$240,000 or more"
758,,Male,"$100,000 - $119,999"
759,,Male,"$120,000 - $139,999"
760,,Male,"$60,000 - $79,999"
761,Designer,Female,"$80,000 - $99,999"
762,Analyst,,"$40,000 - $59,999"
763,Analyst,Male,"$60,000 - $79,999"
764,,Female,"$80,000 - $99,999"
765,,Female,"$60,000 - $79,999"
766,,Female,"$40,000 - $59,999"
767,,Male,"$200,000 - $219,999"
768,Journalist,Prefer not to say,"$100,000 - $119,999"
769,Scientist,Male,"$240,000 or more"
770,,Female,"$10,000 - $19,999"
771,,Female,"$80,000 - $99,999"
772,,Male,"$100,000 - $119,999"
773,,Male,"$100,000 - $119,999"
774,,Male,"$160,000 - $179,999"
775,Other,Male,"$20,000 - $39,999"
776,,Male,"$10,000 - $19,999"
777,,Male,"$100,000 - $119,999"
778,,Female,"$140,000 - $159,999"
779,,Female,"$240,000 or more"
780,Analyst,,"$100,000 - $119,999"
781,Other,Female,"$60,000 - $79,999"
782,,Male,"$200,000 - $219,999"
783,,Female,"$140,000 - $159,999"
784,Other,,"$60,000 - $79,999"
785,,Female,"$100,000 - $119,999"
786,,Male,"$120,000 - $139,999"
787,Developer,Female,"$160,000 - $179,999"
788,Other,Male,"$100,000 - $119,999"
